"generation","family","equation","threshold_ev","delta_h_kj_mol"
"1","charge_transfer","Ar+ + O2 -> Ar + O2+",,
"1","electron_attachment","e- + O2 -> O- + O","4.2",
"1","electron_attachment","e- + O2 -> O2-","0.0",
"1","electron_dissociation","e- + O2 -> e- + O + O","5.1",
"1","electron_excitation","e- + O2 -> e- + O2(a1Delta_g)","0.98",
"1","electron_excitation","e- + O2 -> e- + O2(b1Sigma_g+)","1.63",
"1","electron_ionization","e- + O2 -> e- + e- + O2+","12.07",
"2","charge_transfer","Ar+ + O -> Ar + O+",,
"2","dissociative_recombination","e- + O2+ -> O + O",,
"2","electron_attachment","e- + O -> O-","0.0",
"2","mutual_neutralization","Ar+ + O2- -> Ar + O2",,
"2","mutual_neutralization","Ar+ + O- -> Ar + O",,
"2","electron_ionization","e- + Ar -> e- + e- + Ar+",,
"3","ion_neutral_followup","O+ + O2 -> O + O2+",,
